❯ poetry run python -m deriv8
Loading data...
Using 60000/60000 random training examples and 10000/10000 random test examples
Preparing data...
Training 120 mini-batches of size 500 for 20 epochs
epoch: 0
 batch: 80/120  training loss: 0.82  train accuracy: 73.00%  duration: 8.85s
 batch: 81/120  training loss: 0.82  train accuracy: 71.80%  duration: 8.78s
 batch: 82/120  training loss: 0.92  train accuracy: 70.40%  duration: 8.60s
 batch: 83/120  training loss: 0.80  train accuracy: 73.00%  duration: 8.52s
 batch: 84/120  training loss: 0.84  train accuracy: 74.20%  duration: 8.54s
 batch: 85/120  training loss: 0.89  train accuracy: 72.40%  duration: 8.49s
 batch: 86/120  training loss: 0.89  train accuracy: 69.20%  duration: 8.41s
 batch: 87/120  training loss: 0.86  train accuracy: 74.00%  duration: 9.03s
 batch: 88/120  training loss: 0.81  train accuracy: 75.20%  duration: 8.65s
 batch: 89/120  training loss: 0.86  train accuracy: 72.00%  duration: 8.81s
 batch: 90/120  training loss: 0.90  train accuracy: 69.40%  duration: 8.45s
 batch: 91/120  training loss: 0.94  train accuracy: 67.60%  duration: 8.17s
 batch: 92/120  training loss: 0.97  train accuracy: 70.20%  duration: 8.12s
 batch: 93/120  training loss: 0.85  train accuracy: 74.40%  duration: 8.38s
 batch: 94/120  training loss: 0.88  train accuracy: 70.20%  duration: 7.88s
 batch: 95/120  training loss: 0.83  train accuracy: 74.20%  duration: 8.64s
 batch: 96/120  training loss: 0.77  train accuracy: 75.40%  duration: 9.10s
 batch: 97/120  training loss: 0.80  train accuracy: 74.60%  duration: 8.72s
 batch: 98/120  training loss: 0.83  train accuracy: 75.40%  duration: 8.61s
 batch: 99/120  training loss: 0.81  train accuracy: 74.00%  duration: 8.35s
 batch: 100/120  training loss: 0.80  train accuracy: 72.60%  duration: 8.17s
 batch: 101/120  training loss: 0.77  train accuracy: 74.80%  duration: 9.37s
 batch: 102/120  training loss: 0.83  train accuracy: 74.80%  duration: 8.43s
 batch: 103/120  training loss: 0.85  train accuracy: 72.20%  duration: 8.27s
 batch: 104/120  training loss: 0.85  train accuracy: 73.60%  duration: 8.40s
 batch: 105/120  training loss: 0.82  train accuracy: 74.60%  duration: 8.18s
 batch: 106/120  training loss: 0.77  train accuracy: 75.80%  duration: 8.52s
 batch: 107/120  training loss: 0.76  train accuracy: 77.20%  duration: 8.41s
 batch: 108/120  training loss: 0.73  train accuracy: 75.00%  duration: 8.16s
 batch: 109/120  training loss: 0.73  train accuracy: 78.60%  duration: 8.06s
 batch: 110/120  training loss: 0.81  train accuracy: 73.40%  duration: 8.45s
 batch: 111/120  training loss: 0.78  train accuracy: 73.80%  duration: 8.32s
 batch: 112/120  training loss: 0.70  train accuracy: 76.80%  duration: 8.32s
 batch: 113/120  training loss: 0.71  train accuracy: 76.80%  duration: 8.03s
 batch: 114/120  training loss: 0.79  train accuracy: 72.60%  duration: 7.70s
 batch: 115/120  training loss: 0.84  train accuracy: 74.00%  duration: 7.82s
